Timestamp,State,Are you attending National Convention 2021 in person?,Party,Have you decided on a presidential ticket?,Vote,Are you open to changing your mind?,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,What do you value most in a candidate?,Are you more likely to cast your vote based upon an individual or a message?,Do you have a personal Instagram account?,How important is a candidate's social media presence?,Which of the following influences your vote the most?,How many years have you been involved with TeenPact?,Which of the following candidate's names do you recognize?
5/19/2021 13:47:38,South Carolina,Yes,Vision,Yes,Elise Hof/Brock Freeland,No,Prior relationship with candidates,Kindness,Individual,Yes,Very,Campaign team members,4-5,"Madalyn Bizak, Sarah Botti, Libby Bova, Reese Chatman, Noah Diaz, Evie Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Victoria Hemphill, Elise Hof, Caleb Knapp, Tylah Lynn, Daniel McCarthy, Hannah Nelson, Rhianna Philcox, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Max Zepeda"
5/19/2021 14:29:28,Indiana,Yes,N/A,Yes,Luke Willson/Noah Diaz,No,Prior relationship with candidates,Leads by example,Individual,No,Very,Campaign team members,2-3,"Noah Diaz, John Jordan, Cassie Sawyer"
5/19/2021 14:45:01,Alabama,Yes,Compassion,Yes,Tara Beth Forehand/Lydia Graham,Yes,Campaign team outreach,Leads by example,Individual,Yes,Slightly,Campaign Posters,4-5,"Caroline Allen, Jeffrey Baker, Noah Diaz, Wyatt Dillard, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Tara Beth Forehand, Lydia Graham, Caleb Griffin, Victoria Hemphill, Elise Hof, Madison Hunsucker, John Jordan, Caleb Knapp, Nathaniel Olaires, Noah Powers, Lillian Savage, Cassie Sawyer, Macie Smith, Sarah Strozier, Chloe Jo Woodell"
5/19/2021 15:11:58,Virginia,Yes,Vision,No,Luke Willson/Noah Diaz,Yes,Performance during debates,Humility,Message,No,Not at all,Campaign team members,2-3,"Noah Diaz, Luke Willson"
5/19/2021 15:25:07,Arkansas,Yes,Compassion,No,Tara Beth Forehand/Lydia Graham,Yes,Performance during debates,Leads by example,Individual,Yes,Very,Campaign team members,6+,"Walter Baldwin, Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, Madison Hunsucker, John Jordan, Caleb Knapp, Joseph Lasseter, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Noah Powers, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban Smith, Macie Smith, John Sprayberry, Linnea Stuart, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/19/2021 15:57:10,Iowa,No,Vision,No,Elise Hof/Brock Freeland,Yes,Performance during debates,Leads by example,Individual,Yes,Very,Campaign team members,This is my first year,"Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Brooks Breedlove, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Eden Edwards, Myra Ehrenberg, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Hahn, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Brooklyn Manning, Daniel McCarthy, Noah Powers, Lillian Savage, Rose Schumacher, John Sprayberry, Luke Willson, Max Zepeda"
5/19/2021 16:01:37,Missouri,No,N/A,No,Elise Hof/Brock Freeland,Yes,Personal interaction at National Convention,Honesty,Message,No,Not at all,Campaign team members,This is my first year,"Brock Freeland, Elise Hof, Jed Sicilia, Corban Smith"
5/19/2021 16:11:29,Alabama,Yes,Perseverance,No,Tara Beth Forehand/Lydia Graham,Yes,Prior relationship with candidates,Confidence,Message,Yes,Not at all,Campaign team members,This is my first year,"Bruce Bigler, Sarah Botti, Brooks Breedlove, Noah Diaz, Heidi Dillow, Lara Doorn, Myra Ehrenberg, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Elise Hof, Noah Kent, Caleb Knapp, Brooklyn Manning, Daniel McCarthy, Gideon Miller, Hannah Nelson, Rhianna Philcox, Lauren Wagner, Luke Willson, Max Zepeda"
5/19/2021 16:25:24,Arizona,Yes,Perseverance,Yes,Elise Hof/Brock Freeland,No,Prior relationship with candidates,Leads by example,Individual,Yes,Slightly,Social Media presence,4-5,"Beth Berry, Bruce Bigler, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Reese Chatman, Noah Diaz, Eden Edwards, Evie Erickson, Dannen Farabee, Brock Freeland, Elise Hof, John Jordan, Brooklyn Manning, Grant May, Daniel McCarthy, Hannah Nelson, Noah Powers, Lillian Savage, Caleb Shirk, Macie Smith, Lauren Wagner, Luke Willson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/19/2021 20:55:59,South Carolina,Yes,Vision,Yes,Elise Hof/Brock Freeland,No,Prior relationship with candidates,Kindness,Individual,Yes,Very,Campaign team members,4-5,"Madalyn Bizak, Sarah Botti, Libby Bova, Reese Chatman, Noah Diaz, Evie Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Hahn, Victoria Hemphill, Elise Hof, Caleb Knapp, Tylah Lynn, Daniel McCarthy, Hannah Nelson, Rhianna Philcox, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Max Zepeda"
