Timestamp,State,Are you attending National Convention 2019?,Party,What do you value most in a candidate?,Which of these factors most influences your vote?,Vote,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,How likely are you to change your mind or choose a Presidential ticket at National Convention? ,Do you currently plan to vote for any specific Representative or Senatorial candidates?,"Once elected, how involved in the Administration of the TeenPact nation should Representatives and Senators be?",Which of these candidates do you recognize?
5/15/2019 21:03:59,Indiana,Yes,Compassion,Kindness,Instagram page,Robinson/Adams,Prior relationship with candidates,It's possible,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Josiah Wolfe, Kylee Brandon, Libby Robinson, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Noah Diaz, Patrick Sullivan, Taylor Migliore, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:05:09,Mississippi,Yes,Perseverance,Kindness,Instagram page,Undecided,Prior relationship with candidates,It's possible,Yes,Moderately involved,"Anna Claire Williams, Chad Fryer, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum"
,,,,,,,,,,,
5/15/2019 21:06:24,Ohio,Yes,Perseverance,Humility,Instagram page,Richardson/Benitez,Prior relationship with candidates,Unlikely,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lily Beall, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Olivia Banta, Patrick Sullivan, Roam Hoskin, Ryan Folmar, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:12:01,Texas,No,N/A,Humor,Instagram page,Forehand/McDonald,Social media presence,It's possible,Yes,Moderately involved,"Charlie Hester, Daniel McCarthy, Emma Freeland, Jonathan McCallum, Kylee Brandon, Luke Bieber, Noah Kent, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:12:07,Tennessee,Yes,Perseverance,Confidence,Instagram page,Robinson/Adams,Prior relationship with candidates,It's possible,Yes,Moderately involved,"Anna Adams, Anna Claire Williams, Carter MacDonald, Emma Freeland, Eva Reynolds, Jonathan Crampton, Jonathan McCallum, Libby Robinson, Lily Beall, Liz Daley, Madelyn McDonald, Maggie Megelsh, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:12:34,Virginia,Yes,Compassion,Humility,Instagram page,Richardson/Benitez,Prior relationship with candidates,It's possible,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:14:02,Florida,Yes,Compassion,Humility,Instagram page,Undecided,Personal interaction at National Convention,Very likely,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Bradley Conrad, Briley Glisson, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Wolfe, Kylee Brandon, Lauren Wagner, Libby Robinson, Liz Daley, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:14:10,Arkansas,No,Perseverance,Humility,Instagram page,Richardson/Benitez,Campaign team outreach,Unlikely,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:14:33,Arkansas,Yes,Perseverance,Humility,Instagram page,Richardson/Benitez,Performance during debates,Unlikely,Yes,Slightly involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Briley Glisson, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Isaac Richardson, Josiah Kolar, Libby Robinson, Logan Hancock, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Spencer Graham, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:16:56,Florida,Yes,Compassion,Honesty,Instagram page,Richardson/Benitez,Performance during debates,Unlikely,Yes,Very involved,"Anna Adams, Biani Benitez, Isaac Richardson, Libby Robinson, Madelyn McDonald, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:17:21,Louisiana,Yes,Perseverance,Open-mindedness,Campaign posters,Other,Social media presence,Out of the question,Yes,Not involved at all,Chad Fryer
,,,,,,,,,,,
5/15/2019 21:18:33,Michigan,No,,Humility,Campaign posters,Caba/Slack,Prior relationship with candidates,It's possible,Yes,Very involved,"Anna Adams, Anna Claire Williams, Briley Glisson, Caroline Gould, Carter MacDonald, Chad Fryer, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:18:51,North Carolina,Yes,Vision,Humility,Instagram page,Forehand/McDonald,Prior relationship with candidates,It's possible,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Libby Robinson, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:19:41,Florida,No,N/A,Honesty,Instagram page,Robinson/Adams,Prior relationship with candidates,Out of the question,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Chad Fryer, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:21:31,Tennessee,Yes,Vision,Kindness,Elections Hall table setup,Richardson/Benitez,Personal interaction at National Convention,Unlikely,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Briley Glisson, Caroline Gould, Chad Fryer, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:22:39,Alabama,No,Vision,Confidence,Instagram page,Undecided,Prior relationship with candidates,Very likely,Yes,Very involved,"Bradley Conrad, Madelyn McDonald"
,,,,,,,,,,,
5/15/2019 21:23:14,Pennsylvania,Yes,N/A,Kindness,Instagram page,Forehand/McDonald,Prior relationship with candidates,It's possible,Yes,Slightly involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:25:16,Mississippi,Yes,Vision,Humility,Instagram page,Robinson/Adams,Campaign team outreach,Out of the question,Yes,Very involved,"Anna Adams, Anna Claire Williams, Briley Glisson, Caroline Gould, Chloe Carlson, Chloe Jo Woodell, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Libby Robinson, Liz Daley, Maggie Megelsh, Meredith Durham, Tessa Lynn"
,,,,,,,,,,,
5/15/2019 21:26:11,,Yes,Perseverance,Honesty,Elections Hall table setup,Undecided,Personal interaction at National Convention,Very likely,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Braden Kanyur, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, David Gosz, Emma Freeland, Grace Slack, Isaac Richardson, Josiah Wolfe, Lindsey Caba, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Noah Kent, Patrick Sullivan, Spencer Graham, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:27:33,Mississippi,Yes,Perseverance,Humility,Instagram page,Undecided,Campaign team outreach,Very likely,Yes,Moderately involved,"Anna Claire Williams, Biani Benitez, Caroline Gould, Chloe Jo Woodell, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Wolfe, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Patrick Sullivan, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:28:16,Washington,Yes,Perseverance,Confidence,Instagram page,Richardson/Benitez,Campaign team outreach,Unlikely,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Chloe Carlson, David Gosz, David McElroy, Emma Freeland, Grace Slack, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Peter Stephenson, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:29:03,Texas,Yes,N/A,Humility,Elections Hall table setup,Forehand/McDonald,Social media presence,Very likely,Yes,Moderately involved,"Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, David Gosz, David McElroy, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:31:25,Oklahoma,Yes,N/A,Honesty,Campaign merchandise,Forehand/McDonald,Prior relationship with candidates,It's possible,Yes,Not involved at all,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Braden White, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:32:21,,Yes,Vision,Humility,Elections Hall table setup,Undecided,Performance during debates,Very likely,Yes,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Adams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Spencer Graham, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:36:49,Texas,Yes,Perseverance,Humility,Instagram page,Richardson/Benitez,Prior relationship with candidates,Unlikely,Yes,Very involved,"Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:37:42,Mississippi,Yes,Perseverance,Confidence,Campaign merchandise,Robinson/Adams,Campaign team outreach,It's possible,Yes,Moderately involved,"Anna Adams, Anna Claire Williams, Briley Glisson, Emma Freeland, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Libby Robinson, Maggie Megelsh, Meredith Durham, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 21:39:22,Louisiana,Yes,Perseverance,Open-mindedness,Elections Hall table setup,Caba/Slack,Personal interaction at National Convention,Out of the question,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Blake Landry, Caleb Hahn, Caroline Gould, Carter MacDonald, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Libby Robinson, Lindsey Caba, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Noah Diaz, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:39:38,Virginia,Yes,,Humility,Elections Hall table setup,Undecided,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Anna Claire Williams, Caroline Gould, Carter MacDonald, Chad Fryer, Libby Robinson, Patrick Sullivan, Taylor Migliore"
,,,,,,,,,,,
5/15/2019 21:40:59,,Yes,Perseverance,Humility,Elections Hall table setup,Caba/Slack,Personal interaction at National Convention,Unlikely,Yes,Very involved,"Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Caroline Gould, Carter MacDonald, Daniel McCarthy, Emma Freeland, Grace Slack, Isaac Richardson, Libby Robinson, Lindsey Caba, Madelyn McDonald"
,,,,,,,,,,,
5/15/2019 21:43:16,Georgia,Yes,Vision,Kindness,Campaign merchandise,Forehand/McDonald,Prior relationship with candidates,Out of the question,Yes,Very involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Caroline Gould, Chad Fryer, Charlie Hester, Emma Freeland, Isaac Richardson, Josiah Kolar, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:43:44,Mississippi,Yes,Perseverance,Open-mindedness,Instagram page,Robinson/Adams,Prior relationship with candidates,Unlikely,Yes,Moderately involved,"Anna Claire Williams, Caroline Gould, Chad Fryer, Isaac Richardson, Jonathan Crampton, Jonathan McCallum"
,,,,,,,,,,,
5/15/2019 21:45:10,Illinois,No,N/A,Humility,Instagram page,Forehand/McDonald,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Peter Stephenson, Roam Hoskin, Ryan Folmar, Spencer Graham, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:45:48,,Yes,Vision,Humility,Elections Hall table setup,Undecided,Performance during debates,Unlikely,Yes,Very involved,"Chad Fryer, David Gosz, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 21:48:51,Texas,Yes,Vision,Humility,Instagram page,Forehand/McDonald,Personal interaction at National Convention,It's possible,Yes,Very involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, David McElroy, Emma Freeland, Eva Reynolds, Isaac Richardson, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:48:53,Idaho,Yes,Perseverance,Humor,Campaign merchandise,Gwinn/Bieber,Prior relationship with candidates,Very likely,Yes,Very involved,Abby Murray
,,,,,,,,,,,
5/15/2019 21:49:45,Tennessee,Yes,Vision,Honesty,Instagram page,Undecided,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Briley Glisson, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Wolfe, Libby Robinson, Lily Beall, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:50:07,Oklahoma,No,Vision,Open-mindedness,Campaign merchandise,Forehand/McDonald,Campaign team outreach,Out of the question,Yes,Very involved,"Caleb Hahn, David Gosz, Liz Daley, Madelyn McDonald, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:50:22,Georgia,No,N/A,Kindness,Instagram page,Forehand/McDonald,Prior relationship with candidates,It's possible,Yes,Moderately involved,"Abby Murray, Chad Fryer, David McElroy, Liz Daley, Madelyn McDonald, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:53:59,North Carolina,Yes,Perseverance,Honesty,Instagram page,Richardson/Benitez,Prior relationship with candidates,Out of the question,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Patrick Sullivan, Ryan Folmar, Spencer Graham, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 21:54:16,Mississippi,Yes,Perseverance,Humility,Instagram page,Richardson/Benitez,Personal interaction at National Convention,It's possible,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caroline Gould, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Lauren Wagner, Libby Robinson, Lily Beall, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Ryan Folmar, Spencer Graham, Taylor Migliore, Toby Forehand"
,,,,,,,,,,,
5/15/2019 21:58:21,Georgia,Yes,Vision,Kindness,Instagram page,Forehand/McDonald,Prior relationship with candidates,It's possible,Yes,Very involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Noah Kent, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 22:02:28,Georgia,Yes,Vision,Humility,Instagram page,Forehand/McDonald,Prior relationship with candidates,Unlikely,Yes,Moderately involved,"Abby Murray, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Daniel McCarthy, Emma Freeland, Grace Slack, Josiah Kolar, Lindsey Caba, Liz Daley, Madelyn McDonald, Maggie Megelsh, Peter Stephenson, Spencer Graham, Toby Forehand"
,,,,,,,,,,,
5/15/2019 22:03:40,Mississippi,Yes,Perseverance,Humility,Instagram page,Richardson/Benitez,Prior relationship with candidates,Out of the question,Yes,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Chloe Carlson, David Gosz, Emma Freeland, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Wolfe, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 22:04:45,Indiana,No,N/A,Humility,Instagram page,Robinson/Adams,Prior relationship with candidates,It's possible,Yes,Moderately involved,"Anna Claire Williams, Caroline Gould, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Libby Robinson, Maggie Megelsh, Noah Diaz, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 22:05:51,Washington,No,N/A,Humility,Instagram page,Undecided,Performance during debates,It's possible,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 22:07:45,Virginia,Yes,N/A,Humility,Campaign merchandise,Forehand/McDonald,Prior relationship with candidates,Unlikely,Yes,Very involved,"Andrew Gwinn, Anna Adams, Anna Claire Williams, Blake Landry, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, Eva Reynolds, Jonathan Crampton, Josiah Kolar, Libby Robinson, Liz Daley, Logan Hancock, Lydia Smith, Madelyn McDonald, Nathan Furlough, Patrick Sullivan, Ryan Folmar, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 22:09:58,Arizona,Yes,Vision,Kindness,Instagram page,Forehand/McDonald,Performance during debates,It's possible,Yes,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Ryan Folmar, Toby Forehand, William Ferguson"
,,,,,,,,,,,
