Timestamp,State,Are you attending National Convention 2019?,Party,What do you value most in a candidate?,Which of these factors most influences your vote?,Vote,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,How likely are you to change your mind or choose a Presidential ticket at National Convention? ,Do you currently plan to vote for any specific Representative or Senatorial candidates?,"Once elected, how involved in the Administration of the TeenPact nation should Representatives and Senators be?",Which of these candidates do you recognize?
5/16/2019 12:00:46,Oregon,Yes,N/A,Confidence,Campaign merchandise,Forehand/McDonald,Personal interaction at National Convention,Unlikely,No,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Braden White, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, David McElroy, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Kylee Brandon, Lauren Wagner, Libby Robinson, Lily Beall, Lindsey Caba, Liz Daley, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Matthias Haas, Meredith Durham, Nathan Furlough, Nick Alexakos, Noah Diaz, Noah Kent, Olivia Banta, Patrick Sullivan, Peter Stephenson, Roam Hoskin, Ryan Folmar, Spencer Graham, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/16/2019 12:42:02,Kansas,Yes,Perseverance,Confidence,Instagram page,Richardson/Benitez,Personal interaction at National Convention,Unlikely,No,Moderately involved,"Biani Benitez, Bradley Conrad, Caroline Gould, Daniel McCarthy, Emma Freeland, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Libby Robinson, Maggie Megelsh, Meredith Durham, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/16/2019 14:18:05,Georgia,Yes,Perseverance,Kindness,Instagram page,Forehand/McDonald,Prior relationship with candidates,Very likely,No,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Chloe Jo Woodell, Daniel McCarthy, David Gosz, Emma Freeland, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Josiah Wolfe, Kasey Cochran, Libby Robinson, Lily Beall, Liz Daley, Logan Hancock, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/16/2019 14:31:09,Connecticut,Yes,Perseverance,Open-mindedness,Campaign posters,Undecided,Personal interaction at National Convention,Very likely,No,Moderately involved,"Andrew Gwinn, Braden Kanyur, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, David Gosz, Emma Freeland, Eva Reynolds, Madelyn McDonald, Nathan Furlough, Noah Diaz, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/16/2019 14:48:50,Oregon,Yes,N/A,Humility,,Gwinn/Bieber,Performance during debates,Very likely,No,Moderately involved,"Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Carter MacDonald, Chad Fryer, Charlie Hester, David Gosz, Emma Freeland, Isaac Richardson, Josiah Kolar, Kylee Brandon, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Peter Stephenson, Ryan Folmar, Toby Forehand"
,,,,,,,,,,,
